
Ord.	Intérprete - Música
1	2 Unlimited - Do What's Good For Me
2	2 Unlimited - Nothing Like The Rain
3	20 Fingers & Roula - Lick It
4	2Pac - Dear Mama 
5	4PM - Sukiyaki
6	740 Boyz Feat. 2 In A Room - Shimmy Shake
7	Ace Of Base - Beautiful Life
8	Ace Of Base - Lucky Love
9	Activate - A Say What I Want
10	Adam Feat. Amy - Zombie
11	Adina Howard - Freak Like Me
12	Alanis Morissette - Hand In My Pocket
13	Alanis Morissette - You Oughta Now
14	Alexia & Double You - Me And You
15	All-4-One - I Can Love You Like That
16	Alter Ego Feat. Daisy Dee - Dance (If You Cannot)
17	Andrew Sixty - Diana
18	Andru Donalds - Mishale (Remix)
19	Annie Lennox - A Whiter Shade Of Pale
20	Annie Lennox - No More "I Love Yous"
21	Asa de Águia - Pra lá de Bragadá
22	Asa de Águia - Xô Satanás
23	Backstreet Boys - We've Got It Goin' On
24	Bananarama - Every Shade Of Blue
25	Banda Eva - Coleção
26	Banda Eva - Me abraça
27	Barão Vermelho - Daqui por diante
28	Better Than Ezra - Good
29	Blackstreet - Before I Let You Go
30	Blessid Union Of Souls - I Believe
31	Blessid Union Of Souls - Let Me Be The One
32	Blues Traveler - Run-Around
33	Blur - Country House
34	Bob Marley - Keep On Moving
35	Bon Jovi - Someday I'll Be Saturday Night
36	Bon Jovi - Something For The Pain
37	Bon Jovi - This Ain't A Love Song
38	Boyz II Men - Thank You
39	Boyz II Men - Water Runs Dry
40	Brandy - Baby
41	Brandy - Brokenhearted
42	Brownstone - If You Love Me
43	Bryan Adams - Have You Ever Really Loved A Woman?
44	C & C Music Factory - Take A Toke
45	Caetano Veloso - O calhambeque
46	Caught In The Act - Love Is Everywhere
47	CDB - Let's Groove
48	Celine Dion - Think Twice
49	Chack - Summer Party
50	Chico César - Mama África
51	Cidade Negra - Luta de classes
52	Collective Soul - December
53	Colour - Heat Of The Night
54	Coolio Feat. LV - Gangsta's Paradise
55	Corona - Baby Baby
56	Corona - The Rhythm Of The Night
57	Corona - Try Me Out
58	Cotto's Club Sandwich - The Winner Takes It All
59	Culture Beat - Inside Out
60	Da Blitz - Movin' On
61	Dana Dawson - 3 Is Family
62	Dave Matthews Band - Ants Marching
63	Dave Matthews Band - What Would You Say
64	Deep Blue Something - Breakfast At Tiffany's
65	Del Amitri - Roll To Me
66	Delegation - I Wanna Be The Winner
67	Des'ree - Feel So High
68	Diana King - Shy Guy
69	Dionne Farris - I Know
70	DJ Bobo - Everybody
71	DJ Bobo - Freedom
72	DJ Bobo - I Feel It
73	DJ Bobo - Love Is All Around
74	DJ Company - Holiday In The Land Of Love
75	Double Vision - Knockin'
76	Double You - Because I'm Loving You
77	Double You - Dancing With An Angel
78	Double You - Run To Me
79	Double You - She's Beautiful
80	Double You - That's The Way (I Like It)
81	Double You - What Did You Do?
82	Dr. Alban - This Time I'm Free
83	Dr. Dre - Keep Their Heads Ringin'
84	É o Tchan! - É o Tchan!
85	É o Tchan! - Paquerei
86	East 17 - Stay Another Day
87	Elton John - Believe
88	E-Rotic - Max Don't Have Sex With Your Ex
89	Faith No More - Diggin' The Grave
90	Fanzine - Uma história de amor
91	Fernanda Abreu - A lata
